table_name,ordinal_position,column_name,data_type,is_nullable,column_default,is_identity,identity_generation,is_generated,generation_expression
admin_users,1,id,uuid,NO,gen_random_uuid(),NO,null,NEVER,null
admin_users,2,user_id,uuid,NO,null,NO,null,NEVER,null
admin_users,3,email,text,NO,null,NO,null,NEVER,null
admin_users,4,full_name,text,YES,null,NO,null,NEVER,null
admin_users,5,created_at,timestamp with time zone,YES,now(),NO,null,NEVER,null
admin_users,6,role,text,NO,'admin'::text,NO,null,NEVER,null
assets,1,id,uuid,NO,gen_random_uuid(),NO,null,NEVER,null
assets,2,site_id,uuid,NO,null,NO,null,NEVER,null
assets,3,company_id,uuid,NO,null,NO,null,NEVER,null
assets,4,name,text,NO,null,NO,null,NEVER,null
assets,5,category,asset_category,NO,null,NO,null,NEVER,null
assets,6,description,text,YES,null,NO,null,NEVER,null
assets,7,make,text,YES,null,NO,null,NEVER,null
assets,8,model,text,YES,null,NO,null,NEVER,null
assets,9,serial_number,text,YES,null,NO,null,NEVER,null
assets,10,install_date,date,YES,null,NO,null,NEVER,null
assets,11,is_active,boolean,YES,true,NO,null,NEVER,null
assets,12,created_at,timestamp with time zone,YES,now(),NO,null,NEVER,null
assets,13,updated_at,timestamp with time zone,YES,now(),NO,null,NEVER,null
assets,14,location_note,text,YES,null,NO,null,NEVER,null
assets,15,warranty_expiry,date,YES,null,NO,null,NEVER,null
assets,16,last_serviced,date,YES,null,NO,null,NEVER,null
assets,17,next_service_due,date,YES,null,NO,null,NEVER,null
assets,18,status,text,NO,'operational'::text,NO,null,NEVER,null
assets,19,reference,text,YES,null,NO,null,NEVER,null
broadcast_emails,1,id,uuid,NO,gen_random_uuid(),NO,null,NEVER,null
broadcast_emails,2,subject,text,NO,null,NO,null,NEVER,null
broadcast_emails,3,body,text,NO,null,NO,null,NEVER,null
broadcast_emails,4,cta_label,text,YES,null,NO,null,NEVER,null
broadcast_emails,5,cta_url,text,YES,null,NO,null,NEVER,null
broadcast_emails,6,audience_type,text,NO,null,NO,null,NEVER,null
broadcast_emails,7,audience_filters,jsonb,YES,null,NO,null,NEVER,null
broadcast_emails,8,recipient_count,integer,YES,null,NO,null,NEVER,null
broadcast_emails,9,scheduled_at,timestamp with time zone,YES,null,NO,null,NEVER,null
broadcast_emails,10,sent_at,timestamp with time zone,YES,null,NO,null,NEVER,null
broadcast_emails,11,created_by,uuid,YES,null,NO,null,NEVER,null
broadcast_emails,12,created_at,timestamp with time zone,YES,now(),NO,null,NEVER,null
companies,1,id,uuid,NO,gen_random_uuid(),NO,null,NEVER,null
companies,2,name,text,NO,null,NO,null,NEVER,null
companies,3,email,text,YES,null,NO,null,NEVER,null
companies,4,phone,text,YES,null,NO,null,NEVER,null
companies,5,address,text,YES,null,NO,null,NEVER,null
companies,6,city,text,YES,null,NO,null,NEVER,null
companies,7,postcode,text,YES,null,NO,null,NEVER,null
