table_name,conname,constraint_type,definition
admin_users,admin_users_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
admin_users,admin_users_pkey,PRIMARY KEY,PRIMARY KEY (id)
admin_users,admin_users_user_id_key,UNIQUE,UNIQUE (user_id)
assets,assets_status_check,CHECK,"CHECK ((status = ANY (ARRAY['operational'::text, 'faulty'::text, 'decommissioned'::text])))"
assets,assets_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
assets,assets_site_id_fkey,FOREIGN KEY,FOREIGN KEY (site_id) REFERENCES sites(id) ON DELETE CASCADE
assets,assets_pkey,PRIMARY KEY,PRIMARY KEY (id)
broadcast_emails,broadcast_emails_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES auth.users(id)
broadcast_emails,broadcast_emails_pkey,PRIMARY KEY,PRIMARY KEY (id)
companies,companies_company_size_check,CHECK,"CHECK ((company_size = ANY (ARRAY['1-10'::text, '11-50'::text, '51-200'::text, '201-500'::text, '500+'::text])))"
companies,companies_sourcing_policy_check,CHECK,"CHECK ((sourcing_policy = ANY (ARRAY['approved'::text, 'one_off'::text, 'unrestricted'::text])))"
companies,companies_owner_id_fkey,FOREIGN KEY,FOREIGN KEY (owner_id) REFERENCES auth.users(id)
companies,companies_pkey,PRIMARY KEY,PRIMARY KEY (id)
compliance_items,compliance_items_status_check,CHECK,"CHECK ((status = ANY (ARRAY['valid'::text, 'expiring_soon'::text, 'expired'::text])))"
compliance_items,compliance_items_type_check,CHECK,"CHECK ((type = ANY (ARRAY['public_liability'::text, 'employers_liability'::text, 'professional_indemnity'::text, 'gas_safe'::text, 'niceic'::text, 'napit'::text, 'chas'::text, 'constructionline'::text, 'dbs_check'::text, 'rams'::text, 'other'::text])))"
compliance_items,compliance_items_contractor_id_fkey,FOREIGN KEY,FOREIGN KEY (contractor_id) REFERENCES auth.users(id) ON DELETE CASCADE
compliance_items,compliance_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
contractor_availability_overrides,contractor_availability_overrides_contractor_id_fkey,FOREIGN KEY,FOREIGN KEY (contractor_id) REFERENCES profiles(id) ON DELETE CASCADE DEFERRABLE INITIALLY DEFERRED
contractor_availability_overrides,contractor_availability_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
contractor_availability_overrides,contractor_availability_overrides_contractor_id_date_key,UNIQUE,"UNIQUE (contractor_id, date)"
contractor_credentials,contractor_credentials_contractor_id_fkey,FOREIGN KEY,FOREIGN KEY (contractor_id) REFERENCES profiles(id) ON DELETE CASCADE
contractor_credentials,contractor_credentials_pkey,PRIMARY KEY,PRIMARY KEY (id)
contractor_panel,contractor_panel_prequal_status_check,CHECK,"CHECK ((prequal_status = ANY (ARRAY['not_started'::text, 'in_progress'::text, 'approved'::text, 'lapsed'::text])))"
contractor_panel,contractor_panel_status_check,CHECK,"CHECK ((status = ANY (ARRAY['pending'::text, 'approved'::text, 'suspended'::text, 'removed'::text])))"
contractor_panel,contractor_panel_tier_check,CHECK,"CHECK ((tier = ANY (ARRAY['preferred'::text, 'approved'::text, 'probationary'::text])))"
contractor_panel,contractor_panel_added_by_fkey,FOREIGN KEY,FOREIGN KEY (added_by) REFERENCES auth.users(id)
contractor_panel,contractor_panel_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
contractor_panel,contractor_panel_contractor_id_fkey,FOREIGN KEY,FOREIGN KEY (contractor_id) REFERENCES auth.users(id) ON DELETE CASCADE
contractor_panel,contractor_panel_prequal_id_fkey,FOREIGN KEY,FOREIGN KEY (prequal_id) REFERENCES panel_prequalification(id) ON DELETE SET NULL
contractor_panel,contractor_panel_pkey,PRIMARY KEY,PRIMARY KEY (id)
contractor_panel,contractor_panel_company_id_contractor_id_key,UNIQUE,"UNIQUE (company_id, contractor_id)"
enquiry_measurements,enquiry_measurements_enquiry_id_fkey,FOREIGN KEY,FOREIGN KEY (enquiry_id) REFERENCES enquiries(id) ON DELETE CASCADE
enquiry_measurements,enquiry_measurements_pkey,PRIMARY KEY,PRIMARY KEY (id)
favourites,favourites_contractor_id_fkey,FOREIGN KEY,FOREIGN KEY (contractor_id) REFERENCES profiles(id) DEFERRABLE INITIALLY DEFERRED
favourites,favourites_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES profiles(id) DEFERRABLE INITIALLY DEFERRED
favourites,favourites_pkey,PRIMARY KEY,PRIMARY KEY (id)
favourites,favourites_user_id_contractor_id_key,UNIQUE,"UNIQUE (user_id, contractor_id)"
gdpr_erasure_log,gdpr_erasure_log_performed_by_fkey,FOREIGN KEY,FOREIGN KEY (performed_by) REFERENCES auth.users(id)
gdpr_erasure_log,gdpr_erasure_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
job_assignments,job_assignments_job_id_fkey,FOREIGN KEY,FOREIGN KEY (job_id) REFERENCES jobs(id) ON DELETE CASCADE
job_assignments,job_assignments_team_member_id_fkey,FOREIGN KEY,FOREIGN KEY (team_member_id) REFERENCES team_members(id) ON DELETE CASCADE
job_assignments,job_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
job_conversations,job_conversations_context_check,CHECK,"CHECK ((context = ANY (ARRAY['enquiry'::text, 'job'::text, 'quote'::text])))"
job_conversations,job_conversations_single_context,CHECK,CHECK ((((((job_id IS NOT NULL))::integer + ((enquiry_id IS NOT NULL))::integer) + ((issued_quote_id IS NOT NULL))::integer) = 1))
job_conversations,job_conversations_enquiry_id_fkey,FOREIGN KEY,FOREIGN KEY (enquiry_id) REFERENCES enquiries(id) ON DELETE SET NULL
job_conversations,job_conversations_issued_quote_id_fkey,FOREIGN KEY,FOREIGN KEY (issued_quote_id) REFERENCES issued_quotes(id)
job_conversations,job_conversations_job_id_fkey,FOREIGN KEY,FOREIGN KEY (job_id) REFERENCES jobs(id) ON DELETE CASCADE
job_conversations,job_conversations_pkey,PRIMARY KEY,PRIMARY KEY (id)
job_conversations,job_conversations_job_id_key,UNIQUE,UNIQUE (job_id)
job_message_notifications,job_message_notifications_message_id_fkey,FOREIGN KEY,FOREIGN KEY (message_id) REFERENCES job_messages(id) ON DELETE CASCADE
job_message_notifications,job_message_notifications_recipient_id_fkey,FOREIGN KEY,FOREIGN KEY (recipient_id) REFERENCES profiles(id) ON DELETE CASCADE
job_message_notifications,job_message_notifications_pkey,PRIMARY KEY,PRIMARY KEY (id)
job_messages,job_messages_message_type_check,CHECK,"CHECK ((message_type = ANY (ARRAY['message'::text, 'milestone'::text])))"
job_messages,job_messages_sender_role_check,CHECK,"CHECK ((sender_role = ANY (ARRAY['business'::text, 'contractor'::text, 'personal'::text])))"
job_messages,job_messages_conversation_id_fkey,FOREIGN KEY,FOREIGN KEY (conversation_id) REFERENCES job_conversations(id) ON DELETE CASCADE
job_messages,job_messages_sender_id_fkey,FOREIGN KEY,FOREIGN KEY (sender_id) REFERENCES profiles(id) ON DELETE CASCADE
job_messages,job_messages_pkey,PRIMARY KEY,PRIMARY KEY (id)
job_scheduling_proposals,job_scheduling_proposals_proposed_by_fkey,FOREIGN KEY,FOREIGN KEY (proposed_by) REFERENCES profiles(id)
job_scheduling_proposals,job_scheduling_proposals_quote_id_fkey,FOREIGN KEY,FOREIGN KEY (quote_id) REFERENCES issued_quotes(id) ON DELETE CASCADE
job_scheduling_proposals,job_scheduling_proposals_pkey,PRIMARY KEY,PRIMARY KEY (id)
