table_name,grantee,privilege_type
admin_users,anon,DELETE
admin_users,anon,INSERT
admin_users,anon,REFERENCES
admin_users,anon,SELECT
admin_users,anon,TRIGGER
admin_users,anon,TRUNCATE
admin_users,anon,UPDATE
admin_users,authenticated,DELETE
admin_users,authenticated,INSERT
admin_users,authenticated,REFERENCES
admin_users,authenticated,SELECT
admin_users,authenticated,TRIGGER
admin_users,authenticated,TRUNCATE
admin_users,authenticated,UPDATE
admin_users,service_role,DELETE
admin_users,service_role,INSERT
admin_users,service_role,REFERENCES
admin_users,service_role,SELECT
admin_users,service_role,TRIGGER
admin_users,service_role,TRUNCATE
admin_users,service_role,UPDATE
assets,anon,DELETE
assets,anon,INSERT
assets,anon,REFERENCES
assets,anon,SELECT
assets,anon,TRIGGER
assets,anon,TRUNCATE
assets,anon,UPDATE
assets,authenticated,DELETE
assets,authenticated,INSERT
assets,authenticated,REFERENCES
assets,authenticated,SELECT
assets,authenticated,TRIGGER
assets,authenticated,TRUNCATE
assets,authenticated,UPDATE
assets,service_role,DELETE
assets,service_role,INSERT
assets,service_role,REFERENCES
assets,service_role,SELECT
assets,service_role,TRIGGER
assets,service_role,TRUNCATE
assets,service_role,UPDATE
broadcast_emails,anon,DELETE
broadcast_emails,anon,INSERT
broadcast_emails,anon,REFERENCES
broadcast_emails,anon,SELECT
broadcast_emails,anon,TRIGGER
broadcast_emails,anon,TRUNCATE
broadcast_emails,anon,UPDATE
broadcast_emails,authenticated,DELETE
broadcast_emails,authenticated,INSERT
broadcast_emails,authenticated,REFERENCES
broadcast_emails,authenticated,SELECT
broadcast_emails,authenticated,TRIGGER
broadcast_emails,authenticated,TRUNCATE
broadcast_emails,authenticated,UPDATE
broadcast_emails,service_role,DELETE
broadcast_emails,service_role,INSERT
broadcast_emails,service_role,REFERENCES
broadcast_emails,service_role,SELECT
broadcast_emails,service_role,TRIGGER
broadcast_emails,service_role,TRUNCATE
broadcast_emails,service_role,UPDATE
companies,anon,DELETE
companies,anon,INSERT
companies,anon,REFERENCES
companies,anon,SELECT
companies,anon,TRIGGER
companies,anon,TRUNCATE
companies,anon,UPDATE
companies,authenticated,DELETE
companies,authenticated,INSERT
companies,authenticated,REFERENCES
companies,authenticated,SELECT
companies,authenticated,TRIGGER
companies,authenticated,TRUNCATE
companies,authenticated,UPDATE
companies,service_role,DELETE
companies,service_role,INSERT
companies,service_role,REFERENCES
companies,service_role,SELECT
companies,service_role,TRIGGER
companies,service_role,TRUNCATE
companies,service_role,UPDATE
compliance_items,anon,DELETE
compliance_items,anon,INSERT
compliance_items,anon,REFERENCES
compliance_items,anon,SELECT
compliance_items,anon,TRIGGER
compliance_items,anon,TRUNCATE
compliance_items,anon,UPDATE
compliance_items,authenticated,DELETE
compliance_items,authenticated,INSERT
compliance_items,authenticated,REFERENCES
compliance_items,authenticated,SELECT
compliance_items,authenticated,TRIGGER
compliance_items,authenticated,TRUNCATE
compliance_items,authenticated,UPDATE
compliance_items,service_role,DELETE
compliance_items,service_role,INSERT
compliance_items,service_role,REFERENCES
compliance_items,service_role,SELECT
compliance_items,service_role,TRIGGER
compliance_items,service_role,TRUNCATE
compliance_items,service_role,UPDATE
contractor_availability_overrides,anon,DELETE
contractor_availability_overrides,anon,INSERT
contractor_availability_overrides,anon,REFERENCES
contractor_availability_overrides,anon,SELECT
contractor_availability_overrides,anon,TRIGGER
contractor_availability_overrides,anon,TRUNCATE
contractor_availability_overrides,anon,UPDATE
contractor_availability_overrides,authenticated,DELETE
contractor_availability_overrides,authenticated,INSERT
contractor_availability_overrides,authenticated,REFERENCES
contractor_availability_overrides,authenticated,SELECT
contractor_availability_overrides,authenticated,TRIGGER
contractor_availability_overrides,authenticated,TRUNCATE
contractor_availability_overrides,authenticated,UPDATE
contractor_availability_overrides,service_role,DELETE
contractor_availability_overrides,service_role,INSERT
contractor_availability_overrides,service_role,REFERENCES
contractor_availability_overrides,service_role,SELECT
contractor_availability_overrides,service_role,TRIGGER
contractor_availability_overrides,service_role,TRUNCATE
contractor_availability_overrides,service_role,UPDATE
contractor_credentials,anon,DELETE
contractor_credentials,anon,INSERT
contractor_credentials,anon,REFERENCES
contractor_credentials,anon,SELECT
contractor_credentials,anon,TRIGGER
contractor_credentials,anon,TRUNCATE
contractor_credentials,anon,UPDATE
contractor_credentials,authenticated,DELETE
contractor_credentials,authenticated,INSERT
contractor_credentials,authenticated,REFERENCES
contractor_credentials,authenticated,SELECT
contractor_credentials,authenticated,TRIGGER
contractor_credentials,authenticated,TRUNCATE
contractor_credentials,authenticated,UPDATE
contractor_credentials,service_role,DELETE
contractor_credentials,service_role,INSERT
contractor_credentials,service_role,REFERENCES
contractor_credentials,service_role,SELECT
contractor_credentials,service_role,TRIGGER
contractor_credentials,service_role,TRUNCATE
contractor_credentials,service_role,UPDATE
contractor_panel,anon,DELETE
contractor_panel,anon,INSERT
contractor_panel,anon,REFERENCES
contractor_panel,anon,SELECT
contractor_panel,anon,TRIGGER
contractor_panel,anon,TRUNCATE
contractor_panel,anon,UPDATE
contractor_panel,authenticated,DELETE
contractor_panel,authenticated,INSERT
contractor_panel,authenticated,REFERENCES
contractor_panel,authenticated,SELECT
contractor_panel,authenticated,TRIGGER
contractor_panel,authenticated,TRUNCATE
contractor_panel,authenticated,UPDATE
contractor_panel,service_role,DELETE
contractor_panel,service_role,INSERT
contractor_panel,service_role,REFERENCES
contractor_panel,service_role,SELECT
contractor_panel,service_role,TRIGGER
contractor_panel,service_role,TRUNCATE
contractor_panel,service_role,UPDATE
enquiry_measurements,anon,DELETE
enquiry_measurements,anon,INSERT
enquiry_measurements,anon,REFERENCES
enquiry_measurements,anon,SELECT
enquiry_measurements,anon,TRIGGER
enquiry_measurements,anon,TRUNCATE
enquiry_measurements,anon,UPDATE
enquiry_measurements,authenticated,DELETE
enquiry_measurements,authenticated,INSERT
enquiry_measurements,authenticated,REFERENCES
enquiry_measurements,authenticated,SELECT
enquiry_measurements,authenticated,TRIGGER
enquiry_measurements,authenticated,TRUNCATE
enquiry_measurements,authenticated,UPDATE
enquiry_measurements,service_role,DELETE
enquiry_measurements,service_role,INSERT
enquiry_measurements,service_role,REFERENCES
enquiry_measurements,service_role,SELECT
enquiry_measurements,service_role,TRIGGER
enquiry_measurements,service_role,TRUNCATE
